"","business_id","full_address","open","categories","city","review_count","name","neighborhoods","longitude","latitude","state","stars","Delivery","Take-out","Waiter Service"
"1","_SM8UKIwBNbmj1r629ipoQ","1916 Village Center Cir
Summerlin
Las Vegas, NV 89134",FALSE,"Wine Bars, Bars, Restaurants, Nightlife, Italian","Las Vegas",9,"Chianti Cafe","Summerlin",-115.3043961,36.1924136,"NV",3.5,FALSE,FALSE,TRUE
"2","l6QcUE8XXLrVH6Ydm4GSNw","Texas Station Casino
2101 Texas Star Ln
Las Vegas, NV 89032",TRUE,"Burgers, American (Traditional), Fast Food, Restaurants","Las Vegas",13,"Fatburger","",-115.191711,36.197365,"NV",3,FALSE,TRUE,FALSE
"3","AgtFQVxo-PGQVsOdY6Nvdg","10525 Eastern Ave
Ste 130
Las Vegas, NV 89101",TRUE,"Pizza, Restaurants","Las Vegas",3,"Pizza Hut","",-115.125401,36.17311,"NV",4,NA,TRUE,FALSE
"4","muqFM9Hoamh_fGL4MPeZqg","9470 Eastern Ave
Southeast
Las Vegas, NV 89123",FALSE,"Pubs, Bars, Nightlife, Irish, Restaurants","Las Vegas",21,"Fado Irish Pub","Southeast",-115.1186131,36.0174194,"NV",3.5,FALSE,TRUE,TRUE
"5","AFDFOs2GaIyUArGyEUDQzQ","4355 Spring Mountain Rd
Chinatown
Las Vegas, NV 89102",TRUE,"Chinese, Restaurants","Las Vegas",155,"Cafe Noodle & Chinese Barbeque","Chinatown",-115.197904,36.125908,"NV",3,FALSE,TRUE,TRUE
"6","FV16IeXJp2W6pnghTz2FAw","4029 Spring Mountain Rd
Chinatown
Las Vegas, NV 89102",TRUE,"Vietnamese, Chinese, Restaurants","Las Vegas",1514,"Pho Kim Long","Chinatown",-115.193971,36.126177,"NV",3.5,FALSE,TRUE,TRUE
"7","cvJDHk1ho0DxaF26etcr8Q","2580 S Decatur Blvd
Westside
Las Vegas, NV 89102",TRUE,"Latin American, Restaurants","Las Vegas",48,"Oiga, Mire, Vea Colombian Cuisine","Westside",-115.207747,36.142935,"NV",3.5,TRUE,TRUE,TRUE
"8","10UcN8MF1kQiyTJAfHKvfQ","3360 W Sahara Ave
Ste 110
Westside
Las Vegas, NV 89102",TRUE,"Delis, Italian, Sandwiches, Restaurants","Las Vegas",3,"Courtyard Deli","Westside",-115.187809,36.145672,"NV",5,NA,NA,NA
"9","R5e2XWtpa_CA77MIXEyCTg","4810 W Desert Inn Rd
Westside
Las Vegas, NV 89102",TRUE,"Fast Food, Sandwiches, Restaurants","Las Vegas",5,"Subway","Westside",-115.206002,36.130335,"NV",2.5,FALSE,NA,NA
"10","CoJivG0wxNIBXyOF7MNqSQ","4215 Spring Mountain Rd
Chinatown
Las Vegas, NV 89102",TRUE,"Vietnamese, Restaurants","Las Vegas",65,"Pho Vietnam Restaurant","Chinatown",-115.1969938,36.1263784,"NV",3,FALSE,TRUE,TRUE
