"","business_id","name","addl1","addl2","city","state","zip","neighborhoods","open","review_count","stars","Delivery","Take-out","Waiter Service","longitude","latitude"
"1","_SM8UKIwBNbmj1r629ipoQ","Chianti Cafe","1916 Village Center Cir","Summerlin","Las Vegas","NV","89134","Summerlin",FALSE,9,3.5,"FALSE","FALSE","TRUE",-115.3043961,36.1924136
"2","l6QcUE8XXLrVH6Ydm4GSNw","Fatburger","Texas Station Casino","2101 Texas Star Ln","Las Vegas","NV","89032","Unknown",TRUE,13,3,"FALSE","TRUE","FALSE",-115.191711,36.197365
"3","AgtFQVxo-PGQVsOdY6Nvdg","Pizza Hut","10525 Eastern Ave","Ste 130","Las Vegas","NV","89101","Unknown",TRUE,3,4,"Unknown","TRUE","FALSE",-115.125401,36.17311
"4","muqFM9Hoamh_fGL4MPeZqg","Fado Irish Pub","9470 Eastern Ave","Southeast","Las Vegas","NV","89123","Southeast",FALSE,21,3.5,"FALSE","TRUE","TRUE",-115.1186131,36.0174194
"5","AFDFOs2GaIyUArGyEUDQzQ","Cafe Noodle & Chinese Barbeque","4355 Spring Mountain Rd","Chinatown","Las Vegas","NV","89102","Chinatown",TRUE,155,3,"FALSE","TRUE","TRUE",-115.197904,36.125908
"6","FV16IeXJp2W6pnghTz2FAw","Pho Kim Long","4029 Spring Mountain Rd","Chinatown","Las Vegas","NV","89102","Chinatown",TRUE,1514,3.5,"FALSE","TRUE","TRUE",-115.193971,36.126177
"7","cvJDHk1ho0DxaF26etcr8Q","Oiga, Mire, Vea Colombian Cuisine","2580 S Decatur Blvd","Westside","Las Vegas","NV","89102","Westside",TRUE,48,3.5,"TRUE","TRUE","TRUE",-115.207747,36.142935
"8","10UcN8MF1kQiyTJAfHKvfQ","Courtyard Deli","3360 W Sahara Ave","Ste 110","Las Vegas","NV","89102","Westside",TRUE,3,5,"Unknown","Unknown","Unknown",-115.187809,36.145672
"9","R5e2XWtpa_CA77MIXEyCTg","Subway","4810 W Desert Inn Rd","Westside","Las Vegas","NV","89102","Westside",TRUE,5,2.5,"FALSE","Unknown","Unknown",-115.206002,36.130335
"10","CoJivG0wxNIBXyOF7MNqSQ","Pho Vietnam Restaurant","4215 Spring Mountain Rd","Chinatown","Las Vegas","NV","89102","Chinatown",TRUE,65,3,"FALSE","TRUE","TRUE",-115.1969938,36.1263784
"11","pCobXgTy6DIfBaT4pjlq0w","Einstein Bros","2570 S Decatur Blvd","Westside","Las Vegas","NV","89102","Westside",TRUE,32,3,"FALSE","TRUE","FALSE",-115.2080092,36.1430045
"12","qbXEkNp310Mc0CIs0YJdSg","Sesame House","4255 Spring Mountain Rd","Chinatown","Las Vegas","NV","89102","Chinatown",FALSE,5,4,"Unknown","Unknown","Unknown",-115.197655,36.1263667
"13","V8id7mkt3nJYOD_HthEn1w","China Joe's","3886 W Sahara Ave","Westside","Las Vegas","NV","89102","Westside",FALSE,7,3.5,"TRUE","TRUE","FALSE",-115.1908392,36.1445245
"14","JgpKLikZPbbXYPtILy3-wg","Las Pupusas Restaurant","3111 S Valley View Blvd","Westside","Las Vegas","NV","89102","Westside",TRUE,40,4,"FALSE","TRUE","TRUE",-115.192405700684,36.1319122314453
"15","9-O8qKGQQCYXdBlj4iv7bw","Romano's Macaroni Grill","2400 W. Sahara Ave."," ","Las Vegas","NV","89102","Unknown",TRUE,72,3,"FALSE","TRUE","TRUE",-115.1747246,36.1444845
"16","PsOvURXqpy8iZX2J8y429A","Landry's Seafood","2610 W. Sahara Ave."," ","Las Vegas","NV","89102","Unknown",TRUE,130,3,"FALSE","TRUE","TRUE",-115.175625,36.144997
"17","Yq8LiVymGA7vBpGCQuDfRw","Pho So 1","4745 Spring Mountain Rd","Chinatown","Las Vegas","NV","89102","Chinatown",TRUE,589,3.5,"FALSE","TRUE","TRUE",-115.2062973,36.1262669
"18","nzQJqTrcazg23EjdaHgqDg","Pho Nhu  Y","4355 Spring Mountain Rd","Chinatown","Las Vegas","NV","89102","Chinatown",FALSE,7,2.5,"FALSE","TRUE","TRUE",-115.197904,36.125908
"19","UKKz4HdQC0aH9j5lLi4u8Q","Tofu Hut","3920 Spring Mountain Rd","Chinatown","Las Vegas","NV","89102","Chinatown",TRUE,346,3.5,"FALSE","FALSE","TRUE",-115.193426683545,36.1264888197184
"20","A2aVN_Yw3xDz4x7gGtmYog","Tacos El Burrito Loco","2401 S Valley View Blvd","Westside","Las Vegas","NV","89102","Westside",TRUE,8,3.5,"FALSE","TRUE","FALSE",-115.1905468,36.1463479
"21","euGwFsKJAkkO7kdgOkT9qg","Dotty's #7","2101 S Decatur Blvd","Westside","Las Vegas","NV","89102","Westside",TRUE,3,3.5,"FALSE","FALSE","FALSE",-115.2098129,36.1486584
"22","IALHPP1RDtpXV9KnUM0EQQ","PT's","4604 W Sahara Ave","Suite #10","Las Vegas","NV","89102","Westside",TRUE,12,3.5,"FALSE","FALSE","FALSE",-115.1892,36.1472
"23","LM71VvmoAWDD5z8h7XoVig","Samosa Factory","4604 W Sahara Ave","Ste 6","Las Vegas","NV","89102","Westside",FALSE,148,4,"FALSE","TRUE","TRUE",-115.20472,36.145118
"24","k5h1lqeM70OM3JJdrYH5IQ","Lone Star Steakhouse & Saloon","1611 S Decatur Blvd","Westside","Las Vegas","NV","89102","Westside",FALSE,3,1.5,"Unknown","TRUE","Unknown",-115.207382,36.153466
"25","pNqHRWlrbh71zbPZNd7_2g","Rice To-Go","4840 Spring Mountain Rd","Ste 1","Las Vegas","NV","89102","Chinatown",TRUE,10,3,"TRUE","TRUE","FALSE",-115.206888,36.126543
"26","idvjjh3yCDu7Hupzl89iQw","Wienerschnitzel","4001 W Sahara Ave","Westside","Las Vegas","NV","89102","Westside",FALSE,3,1,"Unknown","Unknown","Unknown",-115.194408,36.14402
"27","vLMFwcFfA2JyFVMDrcFo1g","Shilla Korean BBQ","2721 W Sahara Ave","Westside","Las Vegas","NV","89102","Westside",FALSE,45,3,"FALSE","TRUE","TRUE",-115.178936,36.1438599
"28","Gv3ivlNN44OJbb1KxVAPRQ","Hawaiian Hale","2439 S Valley View Blvd","Westside","Las Vegas","NV","89102","Westside",FALSE,17,4,"Unknown","TRUE","TRUE",-115.1907265,36.1457714
"29","4jxe81SmrVLp_XDUIpXYMg","Kfc","4420 W Sahara Ave","Westside","Las Vegas","NV","89102","Westside",TRUE,5,1.5,"FALSE","TRUE","Unknown",-115.200935,36.1447963
"30","UVZ5auVZrbvgJ0VbWW_P8Q","Pizza Hut","3001 W. Sahara Ave.","Westside","Las Vegas","NV","89102","Westside",TRUE,14,2.5,"TRUE","TRUE","Unknown",-115.184268951416,36.1439743670324
